# source	target	kind	note
消却	銷却	pending	文化廳「同音の漢字による書きかえ」
消夏	銷夏	pending	文化廳「同音の漢字による書きかえ」
消沈	銷鎮	pending	文化廳「同音の漢字による書きかえ」
混交	混淆	pending	文化廳「同音の漢字による書きかえ」
混迷	昏迷	pending	文化廳「同音の漢字による書きかえ」
湾入	彎入	pending	文化廳「同音の漢字による書きかえ」
湾曲	彎曲	pending	文化廳「同音の漢字による書きかえ」
溶岩	熔岩	pending	文化廳「同音の漢字による書きかえ」
溶接	熔接	pending	文化廳「同音の漢字による書きかえ」
溶解	熔解	pending	文化廳「同音の漢字による書きかえ」
漁労	漁撈	pending	文化廳「同音の漢字による書きかえ」
火炎	火焔	pending	文化廳「同音の漢字による書きかえ」
炭鉱	炭礦	pending	文化廳「同音の漢字による書きかえ」
無欲	無慾	pending	文化廳「同音の漢字による書きかえ」
無知	無智	pending	文化廳「同音の漢字による書きかえ」
焦燥	焦躁	pending	文化廳「同音の漢字による書きかえ」
物欲	物慾	pending	文化廳「同音の漢字による書きかえ」
特集	特輯	pending	文化廳「同音の漢字による書きかえ」
理屈	理窟	pending	文化廳「同音の漢字による書きかえ」
理知	理智	pending	文化廳「同音の漢字による書きかえ」
画然	劃然	pending	文化廳「同音の漢字による書きかえ」
略奪	掠奪	pending	文化廳「同音の漢字による書きかえ」
疎明	疏明	pending	文化廳「同音の漢字による書きかえ」
疎水	疏水	pending	文化廳「同音の漢字による書きかえ」
疎通	疏通	pending	文化廳「同音の漢字による書きかえ」
病没	病歿	pending	文化廳「同音の漢字による書きかえ」
発酵	醗酵	pending	文化廳「同音の漢字による書きかえ」
盲動	妄動	pending	文化廳「同音の漢字による書きかえ」
相克	相剋	pending	文化廳「同音の漢字による書きかえ」
真跡	真蹟	pending	文化廳「同音の漢字による書きかえ」
知恵	智慧	pending	文化廳「同音の漢字による書きかえ」
知能	智能	pending	文化廳「同音の漢字による書きかえ」
知謀	智謀	pending	文化廳「同音の漢字による書きかえ」
短編	短篇	pending	文化廳「同音の漢字による書きかえ」
研摩	研磨	pending	文化廳「同音の漢字による書きかえ」
破棄	破毀	pending	文化廳「同音の漢字による書きかえ」
破砕	破摧	pending	文化廳「同音の漢字による書きかえ」
硬骨	鯁骨	pending	文化廳「同音の漢字による書きかえ」
端座	端坐	pending	文化廳「同音の漢字による書きかえ」
